imageIndex,typ,errText,errorClassCombined
3400,ELLIPSE,Klemmträger verlötet,good
411,RECT,Lotperle,THT Loetbruecke
5137,ELLIPSE,Klemmträger verlötet,good
569,ELLIPSE,Pin,good
4645,ELLIPSE,Lötung,good
2494,ELLIPSE,Lötung,good
2884,ELLIPSE,Pin,good
2241,ELLIPSE,Meniskus,good
3577,ELLIPSE,Lötung,good
865,ELLIPSE,Lötung,good
1098,ELLIPSE,Lötung,THT Bauteil fehlt
4733,ELLIPSE,Pin,good
4564,ELLIPSE,Meniskus,THT Loetstelle offen
2424,ELLIPSE,Klemmträger verlötet,good
1136,ELLIPSE,Meniskus,THT Bauteil fehlt
3397,ELLIPSE,Meniskus,good
1921,ELLIPSE,Klemmträger verlötet,good
4294,ELLIPSE,Pin,good
462,RECT,Lotperle,good
2773,ELLIPSE,Pin,THT Bauteil fehlt
1540,ELLIPSE,Pin,good
1886,ELLIPSE,Lötung,good
1234,ELLIPSE,Lötung,good
2686,ELLIPSE,Lötung,good
482,ELLIPSE,Pin,good
3912,ELLIPSE,Pin,good
214,RECT,Lotperle,good
829,ELLIPSE,Pin,good
3625,ELLIPSE,Meniskus,good
1255,ELLIPSE,Pin,good
991,ELLIPSE,Lötung,good
1113,ELLIPSE,Klemmträger verlötet,good
4928,ELLIPSE,Klemmträger verlötet,good
1649,ELLIPSE,Lötung,good
4169,ELLIPSE,Meniskus,good
2365,ELLIPSE,Klemmträger verlötet,good
2880,ELLIPSE,Lötung,good
802,ELLIPSE,Meniskus,good
1149,ELLIPSE,Meniskus,good
92,RECT,Lotperle,THT Loetbruecke
409,RECT,Lotperle,good
2386,ELLIPSE,Meniskus,good
4971,ELLIPSE,Pin,THT Bauteil liegt nicht auf
2041,ELLIPSE,Lötung,good
3774,ELLIPSE,Pin,good
5057,ELLIPSE,Pin,good
1357,ELLIPSE,Meniskus,good
2152,ELLIPSE,Meniskus,good
36,RECT,Lotperle,THT Loetbruecke
5052,ELLIPSE,Pin,good
4287,ELLIPSE,Pin,good
4590,ELLIPSE,Pin,THT Bauteil fehlt
905,ELLIPSE,Lötung,good
1019,ELLIPSE,Lötung,good
4943,ELLIPSE,Meniskus,good
1084,ELLIPSE,Pin,good
2854,ELLIPSE,Lötung,good
3804,ELLIPSE,Meniskus,THT Bauteil liegt nicht auf
2556,ELLIPSE,Meniskus,good
4769,ELLIPSE,Pin,good
5179,ELLIPSE,Pin,good
4319,ELLIPSE,Lötung,good
4766,ELLIPSE,Meniskus,good
526,ELLIPSE,Lötung,good
4088,ELLIPSE,Meniskus,good
4568,ELLIPSE,Lötung,THT Loetstelle offen
4771,ELLIPSE,Lötung,THT Loetstelle offen
677,ELLIPSE,Pin,good
2453,ELLIPSE,Lötung,good
4866,ELLIPSE,Meniskus,good
4085,ELLIPSE,Meniskus,good
1081,ELLIPSE,Meniskus,THT Bauteil fehlt
3948,ELLIPSE,Pin,good
4843,ELLIPSE,Lötung,good
2522,ELLIPSE,Pin,good
3701,ELLIPSE,Lötung,good
287,RECT,Lotperle,THT Loetbruecke
3393,ELLIPSE,Klemmträger verlötet,good
1486,ELLIPSE,Meniskus,good
3190,ELLIPSE,Lötung,good
3696,ELLIPSE,Pin,THT Bauteil fehlt
2875,ELLIPSE,Meniskus,good
2096,ELLIPSE,Meniskus,good
1080,ELLIPSE,Pin,good
2580,ELLIPSE,Meniskus,good
707,ELLIPSE,Lötung,good
4237,ELLIPSE,Pin,THT Bauteil liegt nicht auf
2016,ELLIPSE,Lötung,good
4669,ELLIPSE,Meniskus,good
3044,ELLIPSE,Meniskus,good
3204,ELLIPSE,Lötung,good
1359,ELLIPSE,Pin,good
2629,ELLIPSE,Meniskus,good
1807,ELLIPSE,Lötung,good
3609,ELLIPSE,Pin,THT Bauteil liegt nicht auf
3669,ELLIPSE,Meniskus,good
5040,ELLIPSE,Lötung,good
3033,ELLIPSE,Lötung,THT Bauteil liegt nicht auf
1954,ELLIPSE,Klemmträger verlötet,good
1587,ELLIPSE,Pin,good
2996,ELLIPSE,Lötung,good
4008,ELLIPSE,Klemmträger verlötet,THT Loetst.Form mangelhaft
3554,ELLIPSE,Meniskus,good
3552,ELLIPSE,Pin,good
3729,ELLIPSE,Meniskus,good
3285,ELLIPSE,Meniskus,good
75,RECT,Meniskus,good
1160,ELLIPSE,Pin,good
2090,ELLIPSE,Lötung,good
3642,ELLIPSE,Lötung,THT Loetstelle offen
4081,ELLIPSE,Lötung,good
744,ELLIPSE,Lötung,good
3231,ELLIPSE,Meniskus,good
4559,ELLIPSE,Meniskus,THT Loetstelle offen
180,RECT,Lotperle,good
4381,ELLIPSE,Pin,THT Bauteil fehlt
4087,ELLIPSE,Lötung,good
3109,ELLIPSE,Pin,good
3727,ELLIPSE,Lötung,good
2897,ELLIPSE,Lötung,good
970,ELLIPSE,Lötung,good
1801,ELLIPSE,Klemmträger verlötet,good
1131,ELLIPSE,Lötung,good
3466,ELLIPSE,Pin,good
5170,ELLIPSE,Pin,good
2350,ELLIPSE,Klemmträger verlötet,good
4813,ELLIPSE,Lötung,good
2605,ELLIPSE,Meniskus,good
503,ELLIPSE,Meniskus,good
2511,ELLIPSE,Pin,good
486,ELLIPSE,Pin,good
957,ELLIPSE,Klemmträger verlötet,good
3390,ELLIPSE,Klemmträger verlötet,good
4355,ELLIPSE,Lötung,good
4995,ELLIPSE,Klemmträger verlötet,good
3510,ELLIPSE,Klemmträger verlötet,good
4322,ELLIPSE,Pin,good
2278,ELLIPSE,Pin,good
1996,ELLIPSE,Meniskus,good
936,ELLIPSE,Pin,good
5145,ELLIPSE,Lötung,good
2841,ELLIPSE,Pin,THT Bauteil fehlt
138,RECT,Lotperle,good
3967,ELLIPSE,Pin,good
3065,ELLIPSE,Meniskus,good
2533,ELLIPSE,Meniskus,good
4344,ELLIPSE,Lötung,good
4629,ELLIPSE,Pin,THT Bauteil liegt nicht auf
3413,ELLIPSE,Meniskus,good
3023,ELLIPSE,Lötung,good
3086,ELLIPSE,Meniskus,good
2027,ELLIPSE,Lötung,good
2019,ELLIPSE,Lötung,good
2810,ELLIPSE,Meniskus,good
2405,ELLIPSE,Lötung,good
2498,ELLIPSE,Pin,good
1097,ELLIPSE,Meniskus,THT Bauteil fehlt
