imageIndex,typ,errText,errorClassCombined
3060,ELLIPSE,Meniskus,good
1109,ELLIPSE,Lötung,THT Loetstelle offen
4474,ELLIPSE,Meniskus,good
2965,ELLIPSE,Meniskus,THT Loetstelle offen
3603,ELLIPSE,Lötung,good
3963,ELLIPSE,Meniskus,good
2577,ELLIPSE,Pin,good
4855,ELLIPSE,Pin,good
4434,ELLIPSE,Meniskus,good
2347,ELLIPSE,Meniskus,good
2963,ELLIPSE,Pin,good
2199,ELLIPSE,Pin,good
4459,ELLIPSE,Pin,good
915,ELLIPSE,Lötung,good
1438,ELLIPSE,Pin,good
4804,ELLIPSE,Lötung,good
4937,ELLIPSE,Meniskus,good
1571,ELLIPSE,Pin,good
1388,ELLIPSE,Meniskus,good
2840,ELLIPSE,Pin,THT Bauteil fehlt
576,ELLIPSE,Pin,good
1836,ELLIPSE,Pin,good
506,ELLIPSE,Meniskus,good
2788,ELLIPSE,Lötung,THT Bauteil fehlt
331,RECT,Lotperle,THT Loetbruecke
4465,ELLIPSE,Pin,THT Bauteil liegt nicht auf
4222,ELLIPSE,Lötung,good
4596,ELLIPSE,Pin,good
548,ELLIPSE,Klemmträger verlötet,good
2252,ELLIPSE,Pin,good
130,RECT,Lotperle,good
987,ELLIPSE,Pin,good
1178,ELLIPSE,Meniskus,good
2770,ELLIPSE,Pin,THT Bauteil fehlt
3358,ELLIPSE,Pin,good
2865,ELLIPSE,Pin,THT Bauteil fehlt
3385,ELLIPSE,Meniskus,good
4012,ELLIPSE,Klemmträger verlötet,good
999,ELLIPSE,Meniskus,good
114,RECT,Lotperle,good
2409,ELLIPSE,Pin,good
4772,ELLIPSE,Klemmträger verlötet,good
3826,ELLIPSE,Meniskus,good
4040,ELLIPSE,Pin,good
3055,ELLIPSE,Pin,good
2441,ELLIPSE,Meniskus,good
2737,ELLIPSE,Lötung,THT Bauteil fehlt
4547,ELLIPSE,Pin,good
4046,ELLIPSE,Lötung,good
3583,ELLIPSE,Lötung,good
2338,ELLIPSE,Klemmträger verlötet,good
565,ELLIPSE,Meniskus,good
533,ELLIPSE,Pin,good
4927,ELLIPSE,Meniskus,good
4378,ELLIPSE,Lötung,good
153,RECT,Lotperle,THT Loetbruecke
3119,ELLIPSE,Meniskus,good
4983,ELLIPSE,Pin,good
2110,ELLIPSE,Klemmträger verlötet,good
1616,ELLIPSE,Pin,good
3412,ELLIPSE,no solder,good
2945,ELLIPSE,Pin,good
2847,ELLIPSE,Pin,THT Bauteil fehlt
4989,ELLIPSE,Meniskus,good
1747,ELLIPSE,Pin,good
3829,ELLIPSE,Meniskus,good
1893,ELLIPSE,Klemmträger verlötet,good
3890,ELLIPSE,Lötung,good
3856,ELLIPSE,Meniskus,good
1953,ELLIPSE,Pin,good
2517,ELLIPSE,Pin,good
2102,ELLIPSE,Pin,good
845,ELLIPSE,Klemmträger verlötet,good
2604,ELLIPSE,Meniskus,good
2956,ELLIPSE,Pin,good
637,ELLIPSE,Meniskus,good
605,ELLIPSE,Pin,good
2917,ELLIPSE,Pin,good
4692,ELLIPSE,Pin,good
246,RECT,Lotperle,good
3220,ELLIPSE,no solder,good
4996,ELLIPSE,Pin,good
2704,ELLIPSE,Meniskus,THT Loetstelle offen
3841,ELLIPSE,Lötung,good
4684,ELLIPSE,Lötung,good
2422,ELLIPSE,Pin,good
2274,ELLIPSE,Klemmträger verlötet,good
1044,ELLIPSE,Pin,good
1603,ELLIPSE,Pin,good
3738,ELLIPSE,Meniskus,good
884,ELLIPSE,Pin,good
2455,ELLIPSE,Meniskus,good
2614,ELLIPSE,Meniskus,good
2761,ELLIPSE,Meniskus,THT Bauteil fehlt
4259,ELLIPSE,Pin,good
1360,ELLIPSE,Lötung,good
650,ELLIPSE,Pin,good
2759,ELLIPSE,Pin,THT Bauteil fehlt
2944,ELLIPSE,Pin,good
4488,ELLIPSE,Meniskus,THT Bauteil liegt nicht auf
1706,ELLIPSE,Meniskus,THT Bauteil fehlt
3422,ELLIPSE,Meniskus,good
2364,ELLIPSE,Meniskus,good
2731,ELLIPSE,Lötung,THT Bauteil fehlt
2818,ELLIPSE,Meniskus,THT Bauteil fehlt
2206,ELLIPSE,Meniskus,good
910,ELLIPSE,Pin,good
5072,ELLIPSE,Lötung,good
3914,ELLIPSE,Pin,good
562,ELLIPSE,Meniskus,good
174,RECT,Lotperle,THT Loetbruecke
4357,ELLIPSE,Meniskus,good
2767,ELLIPSE,Lötung,THT Bauteil fehlt
962,ELLIPSE,Pin,good
1560,ELLIPSE,Lötung,THT Loetstelle offen
1539,ELLIPSE,Lötung,good
2310,ELLIPSE,Pin,good
1735,ELLIPSE,Pin,good
1800,ELLIPSE,Pin,good
1957,ELLIPSE,Pin,good
5015,ELLIPSE,Klemmträger verlötet,good
540,ELLIPSE,Meniskus,good
2472,ELLIPSE,Meniskus,good
1026,ELLIPSE,Lötung,good
5172,ELLIPSE,Meniskus,good
4457,ELLIPSE,Pin,good
1506,ELLIPSE,Lötung,good
3160,ELLIPSE,Meniskus,good
4752,ELLIPSE,Lötung,good
2292,ELLIPSE,Meniskus,good
1129,ELLIPSE,Pin,good
597,ELLIPSE,Pin,good
4786,ELLIPSE,Lötung,good
1227,ELLIPSE,Pin,good
2112,ELLIPSE,Meniskus,good
4513,ELLIPSE,Pin,THT Loetstelle offen
830,ELLIPSE,Meniskus,good
2591,ELLIPSE,Lötung,good
782,ELLIPSE,Pin,THT Bauteil liegt nicht auf
2554,ELLIPSE,Lötung,good
2115,ELLIPSE,Klemmträger verlötet,good
2889,ELLIPSE,Meniskus,good
3186,ELLIPSE,Lötung,good
3590,ELLIPSE,Meniskus,good
5094,ELLIPSE,Pin,good
4966,ELLIPSE,Klemmträger verlötet,good
5180,ELLIPSE,Meniskus,good
2046,ELLIPSE,Klemmträger verlötet,good
530,ELLIPSE,Lötung,good
2656,ELLIPSE,Meniskus,good
3274,ELLIPSE,Pin,good
3962,ELLIPSE,Lötung,good
988,ELLIPSE,Pin,good
683,ELLIPSE,Pin,THT Bauteil liegt nicht auf
135,RECT,Lotperle,good
4862,ELLIPSE,Meniskus,good
2141,ELLIPSE,Pin,good
4276,ELLIPSE,Pin,good
4263,ELLIPSE,Lötung,good
3106,ELLIPSE,Pin,good
2692,ELLIPSE,Meniskus,good
1838,ELLIPSE,Meniskus,good
1195,ELLIPSE,Pin,THT Bauteil fehlt
2122,ELLIPSE,Meniskus,good
2693,ELLIPSE,Meniskus,good
2923,ELLIPSE,Meniskus,good
337,RECT,Lotperle,good
3113,ELLIPSE,Lötung,good
3648,ELLIPSE,Pin,THT Loetstelle offen
1281,ELLIPSE,Pin,good
1967,ELLIPSE,Klemmträger verlötet,good
4338,ELLIPSE,Lötung,good
236,RECT,Lotperle,good
3652,ELLIPSE,Pin,THT Loetstelle offen
4910,ELLIPSE,Lötung,good
3498,ELLIPSE,Meniskus,good
5143,ELLIPSE,Meniskus,good
5192,ELLIPSE,Pin,good
4253,ELLIPSE,Pin,THT Bauteil liegt nicht auf
4117,ELLIPSE,Lötung,good
1973,ELLIPSE,Pin,good
3267,ELLIPSE,Pin,good
3306,ELLIPSE,Pin,good
1585,ELLIPSE,Meniskus,good
4553,ELLIPSE,Lötung,THT Loetstelle offen
3428,ELLIPSE,no solder,good
3549,ELLIPSE,Pin,THT Bauteil liegt nicht auf
