imageIndex,typ,errText,errorClassCombined
3653,ELLIPSE,Meniskus,THT Loetstelle offen
4941,ELLIPSE,Meniskus,good
4389,ELLIPSE,Pin,THT Bauteil liegt nicht auf
563,ELLIPSE,Meniskus,good
142,RECT,Lotperle,good
2627,ELLIPSE,Lötung,good
1642,ELLIPSE,Lötung,THT Loetstelle offen
4140,ELLIPSE,Lötung,good
2588,ELLIPSE,Pin,good
2388,ELLIPSE,Lötung,good
4902,ELLIPSE,Lötung,good
116,RECT,Lotperle,good
946,ELLIPSE,Meniskus,good
3971,ELLIPSE,Pin,good
1994,ELLIPSE,Klemmträger verlötet,good
3634,ELLIPSE,Lötung,THT Loetstelle offen
2568,ELLIPSE,Pin,good
3324,ELLIPSE,Klemmträger verlötet,good
4806,ELLIPSE,Lötung,good
1191,ELLIPSE,Meniskus,good
4858,ELLIPSE,Meniskus,good
3391,ELLIPSE,Pin,good
224,RECT,Lotperle,good
1791,ELLIPSE,Meniskus,good
2671,ELLIPSE,Lötung,good
2103,ELLIPSE,Klemmträger verlötet,good
4578,ELLIPSE,Meniskus,good
4889,ELLIPSE,Klemmträger verlötet,good
3863,ELLIPSE,Meniskus,good
1595,ELLIPSE,Pin,good
2864,ELLIPSE,Meniskus,THT Bauteil fehlt
2739,ELLIPSE,Lötung,THT Bauteil fehlt
3006,ELLIPSE,Klemmträger verlötet,good
4920,ELLIPSE,Klemmträger verlötet,good
5022,ELLIPSE,Lötung,good
3080,ELLIPSE,Lötung,good
1690,ELLIPSE,Meniskus,THT Loetstelle offen
44,RECT,Lotperle,good
1083,ELLIPSE,Klemmträger verlötet,good
2638,ELLIPSE,Lötung,good
5049,ELLIPSE,Pin,good
1249,ELLIPSE,Klemmträger verlötet,good
443,RECT,Lotperle,THT Loetbruecke
5038,ELLIPSE,Lötung,good
3270,ELLIPSE,Klemmträger verlötet,good
636,ELLIPSE,Lötung,good
291,RECT,Lotperle,THT Loetbruecke
2812,ELLIPSE,Pin,good
3511,ELLIPSE,Meniskus,good
4006,ELLIPSE,Lötung,good
439,RECT,Lotperle,THT Loetbruecke
3969,ELLIPSE,Lötung,good
1908,ELLIPSE,Pin,good
986,ELLIPSE,Meniskus,good
4252,ELLIPSE,Pin,THT Bauteil liegt nicht auf
2393,ELLIPSE,Lötung,good
297,RECT,Lotperle,THT Loetbruecke
3892,ELLIPSE,Pin,good
820,ELLIPSE,Pin,good
706,ELLIPSE,Meniskus,good
4428,ELLIPSE,Meniskus,good
4795,ELLIPSE,Lötung,good
821,ELLIPSE,Pin,good
257,RECT,Lotperle,good
2799,ELLIPSE,Lötung,THT Bauteil fehlt
1341,ELLIPSE,Pin,THT Bauteil liegt nicht auf
4827,ELLIPSE,Meniskus,good
4471,ELLIPSE,Pin,THT Bauteil liegt nicht auf
402,RECT,Lotperle,THT Loetbruecke
1232,ELLIPSE,Klemmträger verlötet,good
4373,ELLIPSE,Pin,THT Bauteil fehlt
573,ELLIPSE,Pin,good
