imageIndex,typ,errText,errorClassCombined
3703,ELLIPSE,Meniskus,good
1775,ELLIPSE,Meniskus,good
3060,ELLIPSE,Meniskus,good
1109,ELLIPSE,Lötung,THT Loetstelle offen
4474,ELLIPSE,Meniskus,good
2965,ELLIPSE,Meniskus,THT Loetstelle offen
3603,ELLIPSE,Lötung,good
3963,ELLIPSE,Meniskus,good
2577,ELLIPSE,Pin,good
4855,ELLIPSE,Pin,good
4434,ELLIPSE,Meniskus,good
2347,ELLIPSE,Meniskus,good
2963,ELLIPSE,Pin,good
2199,ELLIPSE,Pin,good
4459,ELLIPSE,Pin,good
915,ELLIPSE,Lötung,good
1438,ELLIPSE,Pin,good
4804,ELLIPSE,Lötung,good
4937,ELLIPSE,Meniskus,good
1571,ELLIPSE,Pin,good
1388,ELLIPSE,Meniskus,good
2840,ELLIPSE,Pin,THT Bauteil fehlt
576,ELLIPSE,Pin,good
1836,ELLIPSE,Pin,good
506,ELLIPSE,Meniskus,good
2788,ELLIPSE,Lötung,THT Bauteil fehlt
331,RECT,Lotperle,THT Loetbruecke
4465,ELLIPSE,Pin,THT Bauteil liegt nicht auf
4222,ELLIPSE,Lötung,good
4596,ELLIPSE,Pin,good
548,ELLIPSE,Klemmträger verlötet,good
2252,ELLIPSE,Pin,good
130,RECT,Lotperle,good
987,ELLIPSE,Pin,good
1178,ELLIPSE,Meniskus,good
2770,ELLIPSE,Pin,THT Bauteil fehlt
3358,ELLIPSE,Pin,good
2865,ELLIPSE,Pin,THT Bauteil fehlt
3385,ELLIPSE,Meniskus,good
4012,ELLIPSE,Klemmträger verlötet,good
999,ELLIPSE,Meniskus,good
114,RECT,Lotperle,good
2409,ELLIPSE,Pin,good
4772,ELLIPSE,Klemmträger verlötet,good
3826,ELLIPSE,Meniskus,good
4040,ELLIPSE,Pin,good
3055,ELLIPSE,Pin,good
2441,ELLIPSE,Meniskus,good
2737,ELLIPSE,Lötung,THT Bauteil fehlt
4547,ELLIPSE,Pin,good
4046,ELLIPSE,Lötung,good
3583,ELLIPSE,Lötung,good
