imageIndex,typ,errText,errorClassCombined
3899,ELLIPSE,Klemmträger verlötet,good
3348,ELLIPSE,Klemmträger verlötet,good
1432,ELLIPSE,Pin,THT Bauteil liegt nicht auf
4841,ELLIPSE,Meniskus,THT Loetstelle offen
3217,ELLIPSE,Pin,good
3524,ELLIPSE,no solder,good
1783,ELLIPSE,Klemmträger verlötet,good
4289,ELLIPSE,Meniskus,good
3079,ELLIPSE,Lötung,good
2058,ELLIPSE,Pin,good
4100,ELLIPSE,Meniskus,good
4078,ELLIPSE,Lötung,good
2973,ELLIPSE,Meniskus,good
97,RECT,Lotperle,THT Loetbruecke
2719,ELLIPSE,Pin,THT Bauteil fehlt
4067,ELLIPSE,Pin,good
313,RECT,Lotperle,THT Loetbruecke
471,RECT,Lotperle,good
2140,ELLIPSE,Pin,good
3118,ELLIPSE,Meniskus,good
3966,ELLIPSE,Pin,good
963,ELLIPSE,Pin,good
1380,ELLIPSE,Meniskus,THT Loetstelle offen
3138,ELLIPSE,Pin,good
132,RECT,Lotperle,good
4121,ELLIPSE,Meniskus,good
3200,ELLIPSE,Meniskus,good
2978,ELLIPSE,Meniskus,good
455,RECT,Lotperle,good
2289,ELLIPSE,Pin,good
2982,ELLIPSE,Meniskus,good
4921,ELLIPSE,Pin,good
2255,ELLIPSE,Pin,good
4757,ELLIPSE,Meniskus,good
4654,ELLIPSE,Meniskus,good
4467,ELLIPSE,Pin,THT Bauteil liegt nicht auf
3504,ELLIPSE,no solder,good
1291,ELLIPSE,Meniskus,good
538,ELLIPSE,Lötung,good
4875,ELLIPSE,Pin,good
2660,ELLIPSE,Lötung,good
3052,ELLIPSE,Meniskus,good
4500,ELLIPSE,Meniskus,good
4899,ELLIPSE,Meniskus,good
1555,ELLIPSE,Lötung,good
1821,ELLIPSE,Klemmträger verlötet,good
3551,ELLIPSE,Lötung,good
1244,ELLIPSE,Klemmträger verlötet,good
4218,ELLIPSE,Lötung,good
1903,ELLIPSE,Lötung,good
1504,ELLIPSE,Lötung,good
5115,ELLIPSE,Pin,good
1126,ELLIPSE,Meniskus,good
407,RECT,Lotperle,good
1898,ELLIPSE,Lötung,good
1452,ELLIPSE,Meniskus,good
2414,ELLIPSE,Pin,good
121,RECT,Lotperle,good
3471,ELLIPSE,Pin,good
5160,ELLIPSE,Pin,good
3915,ELLIPSE,Pin,good
4791,ELLIPSE,Lötung,good
2429,ELLIPSE,Lötung,good
564,ELLIPSE,Pin,good
4538,ELLIPSE,Pin,good
2066,ELLIPSE,Lötung,good
4740,ELLIPSE,Pin,good
3506,ELLIPSE,Meniskus,good
3253,ELLIPSE,Meniskus,good
1724,ELLIPSE,Pin,THT Bauteil fehlt
4618,ELLIPSE,Lötung,good
982,ELLIPSE,Lötung,good
641,ELLIPSE,Pin,good
200,RECT,Lotperle,good
1534,ELLIPSE,Meniskus,THT Bauteil liegt nicht auf
3921,ELLIPSE,Pin,good
2286,ELLIPSE,Pin,good
1286,ELLIPSE,Pin,good
2683,ELLIPSE,Meniskus,good
1949,ELLIPSE,Pin,good
3045,ELLIPSE,Pin,good
691,ELLIPSE,Pin,THT Bauteil fehlt
3250,ELLIPSE,Meniskus,good
2181,ELLIPSE,Klemmträger verlötet,good
1095,ELLIPSE,Meniskus,good
2402,ELLIPSE,Meniskus,good
673,ELLIPSE,Pin,good
1991,ELLIPSE,Lötung,good
3064,ELLIPSE,Pin,good
4615,ELLIPSE,Pin,THT Bauteil fehlt
4047,ELLIPSE,Meniskus,good
1764,ELLIPSE,Meniskus,good
780,ELLIPSE,Meniskus,THT Bauteil liegt nicht auf
5032,ELLIPSE,Lötung,good
1114,ELLIPSE,Klemmträger verlötet,good
4435,ELLIPSE,Lötung,good
4877,ELLIPSE,Klemmträger verlötet,good
1845,ELLIPSE,Meniskus,good
4670,ELLIPSE,Pin,good
2481,ELLIPSE,Pin,good
227,RECT,Lotperle,good
2625,ELLIPSE,Meniskus,good
4649,ELLIPSE,Pin,THT Bauteil liegt nicht auf
1237,ELLIPSE,Pin,good
2794,ELLIPSE,Pin,THT Bauteil fehlt
4438,ELLIPSE,Lötung,good
418,RECT,Lotperle,THT Loetbruecke
1075,ELLIPSE,Meniskus,good
2672,ELLIPSE,Pin,good
2404,ELLIPSE,Meniskus,good
3525,ELLIPSE,Pin,good
4345,ELLIPSE,Meniskus,good
4865,ELLIPSE,Klemmträger verlötet,good
1089,ELLIPSE,Lötung,THT Loetstelle offen
4035,ELLIPSE,Meniskus,good
4863,ELLIPSE,Meniskus,good
1860,ELLIPSE,Meniskus,good
4909,ELLIPSE,Klemmträger verlötet,good
3103,ELLIPSE,Meniskus,good
4208,ELLIPSE,Pin,good
2953,ELLIPSE,Pin,good
1132,ELLIPSE,Klemmträger verlötet,good
2913,ELLIPSE,Pin,good
2330,ELLIPSE,Meniskus,good
3557,ELLIPSE,Lötung,good
4977,ELLIPSE,Meniskus,good
1128,ELLIPSE,Pin,good
2630,ELLIPSE,Meniskus,good
2569,ELLIPSE,Lötung,good
3317,ELLIPSE,Pin,good
3089,ELLIPSE,Lötung,good
3688,ELLIPSE,Meniskus,THT Bauteil fehlt
4021,ELLIPSE,Pin,good
1614,ELLIPSE,Pin,good
1552,ELLIPSE,Meniskus,good
377,RECT,Lotperle,good
2535,ELLIPSE,Lötung,good
1074,ELLIPSE,Lötung,THT Loetstelle offen
3857,ELLIPSE,Lötung,good
3067,ELLIPSE,Pin,good
351,RECT,Lotperle,good
3754,ELLIPSE,Pin,good
1920,ELLIPSE,Meniskus,good
5065,ELLIPSE,Klemmträger verlötet,good
4636,ELLIPSE,Pin,THT Bauteil liegt nicht auf
1067,ELLIPSE,Pin,good
3932,ELLIPSE,Pin,good
388,RECT,Lotperle,good
810,ELLIPSE,Lötung,good
4466,ELLIPSE,Meniskus,THT Bauteil liegt nicht auf
2072,ELLIPSE,Meniskus,good
3292,ELLIPSE,no solder,good
1301,ELLIPSE,Meniskus,good
5017,ELLIPSE,Meniskus,good
3615,ELLIPSE,Pin,THT Bauteil liegt nicht auf
4439,ELLIPSE,Pin,good
4053,ELLIPSE,Klemmträger verlötet,good
4602,ELLIPSE,Pin,THT Bauteil fehlt
3129,ELLIPSE,Pin,good
2077,ELLIPSE,Meniskus,good
753,ELLIPSE,Pin,THT Bauteil liegt nicht auf
4044,ELLIPSE,Pin,good
3691,ELLIPSE,Pin,THT Bauteil fehlt
2060,ELLIPSE,Klemmträger verlötet,good
1811,ELLIPSE,Pin,good
4144,ELLIPSE,Meniskus,good
